"External ID","Name","Street","Street2","City","State/State Code","State/State Name","Country/Country Code","Country/Country Name","Zip","Timezone","Address Type","Email","Fax","Mobile","Phone","Notes","Contact Reference","Credit Limit","Payable Limit","Website","Is a Company","Supplier","Customer","Employee","Related Company/Name","Customer Payment Term/Payment Term","Job Position"
,"Lear Corporation","21557 Telegraph Road ",,"Southfield","MI","Michigan","US","United States",48033,,"Other",,,,"248-447-1500",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"LiDestri Foods, Inc.","Attn: Accounts Payable","815 Whitney Rd. W.","Fairport","NY","New York","US","United States",14450,,"Invoice",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Lord Corporation","Attn: Accounts Payable","1635  West 12th Street","Erie","PA","Pennsylvania","US","United States",16505,,"Invoice",,"814-860-3780",,"814-868-0924",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Mauser","2001 Westside Parkway","Suite 130","Alpharetta","GA","Georgia","US","United States",,,"Other",,,,"678-542-1006",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"McNaughton-McKay Electric Co. Customer","PO Box 71487",,"Madison Hts.","MI","Michigan","US","United States",48071,,"Invoice",,"248-399-6828",,"248-414-2168",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"MS Plastic Welders, LLC","1101 Highview Drive",,"Webberville","MI","Michigan","US","United States",48892,,"Invoice",,"517-223-0829",,"517-223-1059",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Nestle USA","PO Box 5805",,"Troy","MI","Michigan","US","United States","48007-5805",,"Invoice",,,,"888-202-4554",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Plastic Container Corp.","P.O. Box 438",,"Champaign","IL","Illinois","US","United States","61824-0438",,"Invoice",,"217-352-2822",,"217-352-2772",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Powerhouse Controls Limited","PO Box 23045",,"Stratford","ON","Ontario","CA","Canada","N5A 7V8",,"Invoice",,"519-273-6221",,"519-273-6602",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Quemetco, Inc","Attn: Accounts Payable","2777 N. Stemmons Fwy. Ste 1800","Dallas","TX","Texas","US","United States","75207-2508",,"Invoice",,,,"214-631-6070",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Ralcorp Holdings (Ralston Foods)","PO Box 88954",,"St. Louis","MO","Missouri","US","United States",63188,,"Invoice",,"269-968-8392",,"269-968-8392",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Rayonier Performance Fiber","1301 Riverplace Blvd","Suite 2300","Jacksonville","FL","Florida","US","United States",32207,,"Other",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Rexam Plastic Packaging","AP Plaza One","1899 N. Wilkinson Way","Perrysburg","OH","Ohio","US","United States",43551,,"Invoice",,"567-336-7200",,"567-336-8049",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Rockwell Automation US","PO BOX 2167",,"Milwaukee","WI","Wisconsin","US","United States",53201,,"Invoice",,"440-646-4843",,"440-646-4875",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Rockwell Automation CA","135 Dundas Street",,"Cambridge","ON","Ontario","CA","Canada","N1R 5X1",,"Invoice",,,,"519-244-5016",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Silgan Holdings, Inc.","4 Landmark Square","Suite 400","Stamford","CT","Connecticut","US","United States",6901,,"Other",,,,"203-975-7110",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Sur-Flo Plastics, Inc.","24358 Groesbeck Hwy.",,"Warren","MI","Michigan","US","United States",48089,,"Invoice",,"586-773-4433",,"586-773-0400",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Tekni-Plex  ","460 E. Swedesford Rd.","Suite 3000","Wayne","PA","Pennsylvania","US","United States",19087,,"Invoice",,,,"484-690-1524",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Department of Veteran Affairs","Austin Payment Center","PO Box 149971","Austin","TX","Texas","US","United States","78714-8971",,"Invoice",,"512-460-5545",,"877-353-8971",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Washtenaw County","Facilities Management / 81068","PO Box 8645","Ann Arbor","MI","Michigan","US","United States","48107-8645",,"Invoice",,"734-973-4573",,"734-260-5244",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Wek Industries, Inc.","1001 NE Market Street",,"Reedsville","NC","North Carolina","US","United States",27320,,"Invoice",,,,"336-342-4101",,,100000,,,"TRUE","FALSE","TRUE","FALSE",,"2%-10 Days/Net-30 Days",
,"Akei Holdings - Kai Ping","Wu Long Industrial District","Chi Kan Town","Kai Ping",,"Guang Dong Province","CN","China",,,"Shipping",,"011-86-750-26131178",,"011-86-138-2236-8819",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Akei Holdings Company Ltd.","Net-30 Days",
,"Aleris - Uhrichsville","7319 Newport Rd. S.E.",,"Uhrichsville","OH","Ohio","US","United States",44683,,"Shipping",,"216-910-3657",,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Aleris Rolled Products, Inc.","Net-30 Days",
,"Alstom Power - Erlanger","1500 Jamike Lane",,"Erlanger","KY","Kentucky","US","United States",41018,,"Default",,,,"859-488-0999",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Alstom Power","Net-30 Days",
,"Amcor Rigid Plastics - Allentown","6974 Schantz Road",,"Allentown","PA","Pennsylvania","US","United States",18106,,"Shipping",,,,"610-871-8926 ",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Bellevue","975 West Main St.",,"Bellevue","OH","Ohio","US","United States",44811,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Blythewood","1080 Jenkins Brothers Road",,"Blythewood","SC","South Carolina","US","United States","29016-7753",,"Shipping",,,,"803-691-7000",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Brampton","95 Biscayne Cres",,"Brampton","ON","Ontario","CA","Canada","L6W 4R2",,"Shipping",,,,"905-450-5579",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Chino","14270 Ramona Avenue",,"Chino","CA","California","US","United States",91710,,"Shipping",,,,"734-428-9741",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Commerce","2110 Yates Avenue",,"Commerce","CA","California","US","United States",90040,,"Shipping",,"323-838-6309",,"323-838-6300",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Denver","4990 Ironton St.",,"Denver","CO","Colorado","US","United States",80239,,"Shipping",,,,"303-371-1350",,,100000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","1%-10 Days/Net-30 Days",
,"Amcor Rigid Plastics - Fairfield","2425 South Watney Way",,"Fairfield","CA","California","US","United States",94533,,"Shipping",,"707-421-1999",,"707-399-6500",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Franklin","3201 Bearing Drive",,"Franklin","IN","Indiana","US","United States",46131,,"Shipping",,"317-736-4067",,"317-736-4313",,,100000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Ft Worth","4324 Fleetwood",,"Ft Worth","TX","Texas","US","United States",76155,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Joplin","3503 Enterprise Avenue","Suite B","Joplin","MO","Missouri","US","United States",64801,,"Shipping",,"734-428-0761",,"734-428-9741 ",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Lathrop","401 Nestle Way",,"Lathrop","CA","California","US","United States",95330,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Manchester","10521 S.Highway M-52",,"Manchester","MI","Michigan","US","United States",48158,,"Shipping",,,,,,,100000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Napoleon","12293 St. Rt. 110",,"Napoleon","OH","Ohio","US","United States",43545,,"Shipping",,"419-592-0940",,"419-592-1998",,,100000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Orlando","10260 Ringhaver Dr.",,"Orlando","FL","Florida","US","United States",32824,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Tucson","6161 S. Palo Verde Road",,"Tucson","AZ","Arizona","US","United States",85706,,"Shipping",,,,,,,100000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","1%-10 Days/Net-30 Days",
,"Amcor Rigid Plastics - Tumwater","3045 - 32nd Avenue S.W.",,"Tumwater","WA","Washington","US","United States",98512,,"Shipping",,,,"360-943-2527",,,100000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","2%-10 Days/Net-30 Days",
,"Amcor Rigid Plastics - Wytheville","474 Gator Lane",,"Wytheville","VA","Virginia","US","United States",24382,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Moncton","66 English Drive",,"Moncton","NB","New Brunswick","CA","Canada","E1E 4G1",,"Shipping",,"506-858-7806",,"506-857-8116",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"Amcor Rigid Plastics - Nicholasville","801 Memorial Drive",,"Nicholasville","KY","Kentucky","US","United States",40356,,"Shipping",,,,"859-885-6087",,,100000,,,"TRUE","FALSE","TRUE","FALSE","Amcor Rigid Plastics, Inc. ","Net-30 Days",
,"American Tooling Center - Jackson","1150 S. Elm St.",,"Jackson","MI","Michigan","US","United States",49203,,"Shipping",,"517-522-8078",,"517-522-8411",,,50000,,,"TRUE","FALSE","TRUE","FALSE","American Tooling Center","Net-30 Days",
,"ArvinMeritor - Frankfort","88 Steadmantown Lane",,"Frankfort","KY","Kentucky","US","United States",40601,,"Default",,"502-695-6525",,"502-695-1431",,,50000,,,"TRUE","FALSE","TRUE","FALSE","ArvinMeritor","Net-30 Days",
,"ArvinMeritor - Morristown","One Rockwell Drive",,"Morristown","TN","Tennessee","US","United States",37813,,"Default",,,,"248-435-3602",,,50000,,,"TRUE","FALSE","TRUE","FALSE","ArvinMeritor","Net-30 Days",
,"Avery Dennison - Miamisburg","170 Monarch Lane","Receiving Dock A","Miamisburg","OH","Ohio","US","United States",45342,,"Shipping",,"440-815-2269",,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Avery Dennison","Net-90 Days",
,"Bosch  - Albion","1613 Progress Drive",,"Albion","IN","Indiana","US","United States",46701,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Bosch ","Net-30 Days",
,"Bosch  - Excelsior Springs","140 Corum Road",,"Excelsior Springs","MO","Missouri","US","United States",64024,,"Shipping",,"816-629-2323",,"816-392-8540",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Bosch ","Net-30 Days",
,"Bosch  - Farmington Hills","38000 Hills Tech Drive",,"Farmington Hills","MI","Michigan","US","United States",48331,,"Shipping",,,,"248-876-2135",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Bosch ","Net-30 Days",
,"Bridgestone - Upper Sandusky","235 Commerce Way",,"Upper Sandusky","OH","Ohio","US","United States",43351,,"Shipping",,,,"419-294-6989",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Bridgestone","Net-30 Days",
,"Ohio (BWC) - Pickerington","Training & Education Services","13430 Yarmouth Drive","Pickerington","OH","Ohio","US","United States",43147,,"Default",,,,"614-466-0386",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Ohio Bureau of Workers Compensation (BWC)","Net-30 Days",
,"Caravan Ingredients - Kansas City","550 S. 18th Street",,"Kansas City","KS","Kansas","US","United States",66105,,"Shipping",,"913-888-4970",,"913-890-5428J",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Caravan Ingredients, Inc.","Net-30 Days",
,"Carpenter Technology Corp. - Reading","Bldg 109 Recvg Dept Gate 6","Hartman & Sofianos Roads","Reading","PA","Pennsylvania","US","United States",19605,,"Shipping",,,,"610-207-8834",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Carpenter Technology Corp.","Net-30 Days",
,"Consolidated Container Co. - Atlanta","400 Indeco Drive, Suite A",,"Atlanta","GA","Georgia","US","United States",30336,,"Shipping",,"678-742-4751",,"678-742-4600",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Consolidated Container Co.","Net-30 Days",
,"Consolidated Container Co. - Baltimore","7100 East Baltimore Street",,"Baltimore","MD","Maryland","US","United States",21224,,"Shipping",,"410-285-5454",,"410-288-7307",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Consolidated Container Co.","Net-30 Days",
,"Center for Disease Control & Prev (FMO) - Pittsburgh","Office Aquisition Svcs, Bch 4","Box 18070, 626 Cochrans Mill","Pittsburgh","PA","Pennsylvania","US","United States","15236-0070",,"Shipping",,,,"404-718-8100",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Center for Disease Control & Prev (FMO)","Net-30 Days",
,"CertainTeed Corporation - North Wilkesboro","FCD Roaring River, NC","1149 Abtco Roadstreet","North Wilkesboro","NC","North Carolina","US","United States",28659,,"Shipping",,"336-696-2079",,"336-696-2007 ",,,50000,,,"TRUE","FALSE","TRUE","FALSE","CertainTeed Corporation","Net-30 Days",
,"Cole Tool & Die Company - Ontario","466 State Route 314 North",,"Ontario","OH","Ohio","US","United States",44903,,"Shipping",,"419-522-5815",,"419-522-1272",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Cole Tool & Die Company","Net-60 Days",
,"Denso Manufacturing - Athens","2400 Denso Drive",,"Athens","TN","Tennessee","US","United States",37303,,"Shipping",,"423-746-1156",,"423-746-0000",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Denso International America Inc.","Net-30 Days",
,"Denso Manufacturing - Southfield","Southfield Ship & Rec Whse.","24777 Denso Drive","Southfield","MI","Michigan","US","United States",48033,,"Shipping",,,,"865-738-2411",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Denso International America Inc.","Net-30 Days",
,"Dow Chemical - Ironton","925 County Road 1A",,"Ironton","OH","Ohio","US","United States",45638,,"Default",,"740-533-4030",,"740-533-4149",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Dow Chemical","Net-30 Days",
,"Eaton Corporation - Jackson","2425 W. Michigan Ave",,"Jackson","MI","Michigan","US","United States",49202,,"Shipping",,"517-789-1718",,"517-789-1161",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Eaton Corporation","Net-30 Days",
,"Ebner Furnaces - Wadsworth","224 Quadral Drive",,"Wadsworth","OH","Ohio","US","United States",44281,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"EESCO - Jacksonville","6209 Bowdendale Ave",,"Jacksonville","FL","Florida","US","United States",32216,,"Shipping",,"630-633-2026",,"630-296-2555",,,50000,,,"TRUE","FALSE","TRUE","FALSE","EESCO","Net-30 Days",
,"Exxon Mobil - Beaumont","3795 West Cardinal Dr.","Beaumont",,"TX","Texas","US","United States",77705,,"Shipping",,,,"409-860-1526",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Exxon Mobil Chemical Co.","Net-30 Days",
,"Fenner Precision - Manheim","250 South Penn St.",,"Manheim","PA","Pennsylvania","US","United States",17545,,"Shipping",,"717-664-8353",,"717-664-8260",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Fenner Precision, LLC","Net-30 Days",
,"Faurecia Interior Systems - Auburn Hills","PO Box 214680",,"Auburn Hills","MI","Michigan","US","United States","48321-4680",,"Shipping",,,,"248-409-3658",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Faurecia Interior Systems, Inc.","Net-30 Days",
,"Faurecia Interior Systems - Fountain Inn","101 International Blvd","Plant 1","Fountain Inn","SC","South Carolina","US","United States",29644,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Faurecia Interior Systems, Inc.","Net-30 Days",
,"Faurecia Interior Systems - Fraser","17801 East 14 Mile Road","US17-INA-FRS","Fraser","MI","Michigan","US","United States",48026,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Faurecia Interior Systems, Inc.","Net-30 Days",
,"Faurecia Interior Systems - Louisville","2000 Stanley Gault Parkway",,"Louisville","KY","Kentucky","US","United States",40223,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Faurecia Interior Systems, Inc.","Net-30 Days",
,"Faurecia Interior Systems - Puebla","KM 117 Autopista Mexico Puebla","Nave 17 Parque Industrial Fins","Puebla",,,"MX","Mexico",72710,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Faurecia Interior Systems, Inc.","Net-30 Days",
,"Faurecia Interior Systems - Saline","7700 Michigan Avenue",,"Saline","MI","Michigan","US","United States",48176,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Faurecia Interior Systems, Inc.","Net-30 Days",
,"Faurecia Interior Systems - Tuscaloosa","1401 Industrial Park Drive",,"Tuscaloosa","AL","Alabama","US","United States",35405,,"Shipping",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE","Faurecia Interior Systems, Inc.","Net-30 Days",
,"FTE Automotive USA - Fair Haven","6015 Corporate Drive",,"Fair Haven","MI","Michigan","US","United States",48023,,"Shipping",,"248-377-4963",,"248-340-1259",,,50000,,,"TRUE","FALSE","TRUE","FALSE","FTE Automotive USA Inc.","Net-30 Days",
,"General Motors  - Flint","GMPT - Flint Engine South","2100 Bristol Road","Flint","MI","Michigan","US","United States",48552,,"Shipping",,,,"248-874-4636",,,50000,,,"TRUE","FALSE","TRUE","FALSE","General Motors ","Net-60 Days",
,"General Motors - Lordstown","2300 Hallock Young Rd",,"Lordstown","OH","Ohio","US","United States",44481,,"Shipping",,,,"330-824-5000",,,50000,,,"TRUE","FALSE","TRUE","FALSE","General Motors","Net-30 Days",
,"General Motors - Ypsilanti",,,"Ypsilanti","MI","Michigan","US","United States",,,"Shipping",,"734-481-5219",,"734-481-6637",,,500000,,,"TRUE","FALSE","TRUE","FALSE","General Motors","Net-30 Days",
,"Graham Packaging - Belvidere","600 Fifth Street",,"Belvidere","NJ","New Jersey","US","United States",7823,,"Default",,"908-475-4724",,"908-475-2181",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Graham Packaging, Inc.","Net-30 Days",
,"Graham Packaging - Iowa City","2515 Independence Rd.",,"Iowa City","IA","Iowa","US","United States",52240,,"Default",,,,"319-358-4701",,,50000,,,"TRUE","FALSE","TRUE","FALSE","Graham Packaging, Inc.","Net-30 Days",
